                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.1018,                0.64553,                 1.0665,                0.91344,                0.96487,                0.96616,                 0.6963,                 1.0287,                0.48876,                0.98722,               0.007195,               0.007195,               0.007195
                     88,                 1.1014,                0.64896,                 1.0674,                0.90498,                0.96397,                0.96874,                0.69951,                 1.0275,                0.49706,                0.99247,               0.007162,               0.007162,               0.007162
                     89,                 1.1003,                0.63938,                 1.0679,                0.90711,                0.95559,                 0.9679,                0.70331,                 1.0233,                 0.4932,                0.98941,               0.007129,               0.007129,               0.007129
                     90,                  1.093,                0.63487,                  1.062,                0.89258,                0.97208,                  0.968,                 0.6973,                 1.0246,                0.50229,                 0.9875,               0.007096,               0.007096,               0.007096
                     91,                 1.0903,                0.62781,                 1.0591,                0.89694,                0.97318,                0.96627,                0.70019,                 1.0112,                0.48542,                0.98072,               0.007063,               0.007063,               0.007063
                     92,                 1.0841,                0.62704,                 1.0512,                0.90086,                0.96688,                 0.9666,                0.70185,                0.99891,                0.48902,                 0.9777,                0.00703,                0.00703,                0.00703
                     93,                 1.0926,                 0.6292,                 1.0593,                0.93346,                0.94357,                0.96442,                0.70753,                0.99794,                0.47518,                0.97869,               0.006997,               0.006997,               0.006997
                     94,                 1.0899,                0.63198,                 1.0654,                0.92194,                0.95282,                0.96807,                0.70118,                 0.9989,                0.47598,                0.97834,               0.006964,               0.006964,               0.006964
                     95,                 1.1008,                0.63236,                 1.0647,                0.91198,                0.96383,                0.96839,                0.70111,                   1.01,                0.48597,                0.98483,               0.006931,               0.006931,               0.006931
                     96,                 1.0874,                0.62754,                 1.0581,                 0.9146,                0.96753,                0.96915,                 0.7083,                  1.005,                 0.4903,                 0.9831,               0.006898,               0.006898,               0.006898
                     97,                 1.0862,                0.62816,                 1.0639,                 0.9209,                 0.9712,                0.96728,                0.70026,                 1.0041,                0.48945,                 0.9828,               0.006865,               0.006865,               0.006865
                     98,                 1.0917,                0.62205,                 1.0631,                0.91265,                0.96486,                0.96734,                0.70512,                 1.0017,                0.48976,                0.98396,               0.006832,               0.006832,               0.006832
                     99,                 1.0865,                0.62279,                 1.0615,                0.90972,                0.96327,                 0.9678,                0.69985,                 1.0015,                0.48478,                 0.9821,               0.006799,               0.006799,               0.006799
                    100,                 1.0704,                0.62073,                  1.054,                0.91506,                0.96138,                0.96675,                0.70109,                0.99936,                0.47883,                0.97957,               0.006766,               0.006766,               0.006766
                    101,                 1.0776,                0.61765,                  1.052,                0.90961,                0.96923,                0.96688,                0.70421,                0.99374,                 0.4771,                 0.9778,               0.006733,               0.006733,               0.006733
                    102,                 1.0782,                0.62757,                 1.0616,                 0.9108,                0.96713,                0.96849,                0.70389,                0.99606,                0.47547,                 0.9782,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.0805,                0.61886,                 1.0532,                0.90109,                0.97116,                0.96697,                0.70614,                 0.9967,                0.47201,                0.97774,               0.006667,               0.006667,               0.006667
                    104,                 1.0685,                0.62534,                 1.0536,                0.90025,                0.96607,                0.96814,                0.70315,                  1.006,                0.47182,                0.97841,               0.006634,               0.006634,               0.006634
                    105,                 1.0767,                0.60923,                 1.0511,                0.89926,                0.96937,                0.96924,                0.70556,                0.99986,                0.47078,                0.97602,               0.006601,               0.006601,               0.006601
                    106,                 1.0657,                0.61027,                 1.0529,                0.90917,                0.96284,                0.96873,                0.70489,                0.99891,                0.46985,                0.97837,               0.006568,               0.006568,               0.006568
                    107,                 1.0692,                0.61641,                  1.056,                0.93541,                0.95945,                0.96856,                0.71328,                0.98473,                0.46676,                 0.9762,               0.006535,               0.006535,               0.006535
                    108,                 1.0805,                0.61683,                 1.0564,                0.91416,                0.96278,                0.96887,                0.71438,                0.98323,                0.46286,                 0.9726,               0.006502,               0.006502,               0.006502
                    109,                 1.0689,                 0.6155,                 1.0513,                0.93236,                0.96001,                0.96827,                0.71697,                0.98317,                0.46282,                0.97296,               0.006469,               0.006469,               0.006469
                    110,                 1.0738,                0.61396,                 1.0537,                0.90806,                0.96885,                0.96857,                0.71095,                0.98629,                0.46359,                 0.9736,               0.006436,               0.006436,               0.006436
                    111,                 1.0729,                0.60726,                 1.0502,                0.91087,                0.96678,                 0.9683,                0.71178,                0.99019,                0.46696,                0.97279,               0.006403,               0.006403,               0.006403
                    112,                 1.0617,                0.60769,                 1.0524,                0.90688,                0.96865,                0.96878,                0.70684,                0.98992,                0.46779,                0.97367,                0.00637,                0.00637,                0.00637
                    113,                 1.0589,                0.60804,                 1.0447,                0.90287,                0.97287,                0.96826,                  0.707,                0.99605,                0.46635,                 0.9759,               0.006337,               0.006337,               0.006337
                    114,                 1.0656,                0.59912,                 1.0448,                0.90154,                 0.9748,                0.96872,                0.70585,                0.99779,                0.46894,                0.97693,               0.006304,               0.006304,               0.006304
                    115,                 1.0706,                0.60364,                 1.0469,                0.90543,                0.97623,                0.96755,                0.70533,                0.99375,                0.46981,                0.97698,               0.006271,               0.006271,               0.006271
                    116,                 1.0641,                0.59958,                 1.0574,                0.91145,                0.97652,                0.96866,                0.70824,                0.99708,                0.46378,                0.97778,               0.006238,               0.006238,               0.006238
                    117,                 1.0659,                0.60394,                 1.0503,                0.91225,                0.97363,                0.96904,                0.70212,                0.99542,                0.46393,                0.97891,               0.006205,               0.006205,               0.006205
                    118,                  1.057,                0.59529,                  1.049,                0.91143,                0.96887,                0.96951,                0.70853,                0.99712,                0.46373,                0.97686,               0.006172,               0.006172,               0.006172
                    119,                  1.058,                0.59772,                 1.0465,                 0.9164,                0.97386,                0.96904,                0.70917,                0.99591,                0.46651,                0.97627,               0.006139,               0.006139,               0.006139
