                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                  1.091,                0.64083,                 1.0611,                0.92595,                0.97208,                0.97552,                0.71221,                 1.0094,                0.49543,                0.98434,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.0793,                0.63473,                  1.063,                 0.9155,                0.97225,                0.97148,                0.70681,                 1.0279,                0.48538,                0.98712,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.0802,                0.63455,                 1.0685,                0.92428,                0.96719,                0.97077,                0.71181,                  1.014,                0.48494,                0.98246,               0.008614,               0.008614,               0.008614
                     73,                 1.0783,                0.63026,                 1.0591,                0.92277,                0.96612,                0.96858,                0.70684,                 1.0086,                0.48035,                0.98729,              0.0085942,              0.0085942,              0.0085942
                     74,                  1.082,                0.63282,                 1.0595,                0.93099,                0.96115,                0.96773,                0.70841,                  1.009,                0.48247,                0.98504,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.0686,                0.62326,                 1.0585,                0.90681,                0.97278,                0.96782,                0.71031,                0.99983,                  0.482,                0.98062,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.0644,                0.62067,                 1.0591,                 0.9164,                0.97342,                0.96912,                0.71625,                0.98387,                0.47818,                0.97914,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.0743,                0.61711,                 1.0526,                0.93879,                0.96551,                0.96648,                0.70649,                 1.0132,                0.48253,                0.98071,               0.008515,               0.008515,               0.008515
                     78,                 1.0698,                0.61915,                 1.0538,                0.91183,                 0.9749,                0.96468,                0.70146,                0.99811,                 0.4775,                0.97905,              0.0084952,              0.0084952,              0.0084952
                     79,                 1.0704,                0.61378,                 1.0517,                0.90161,                0.98082,                0.96419,                0.71094,                0.99844,                0.47434,                0.98263,              0.0084754,              0.0084754,              0.0084754
                     80,                 1.0637,                0.61663,                 1.0544,                0.94132,                0.96179,                0.96862,                 0.7081,                0.99794,                0.47075,                0.97766,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.0805,                0.61612,                 1.0642,                 0.9029,                0.97868,                0.96557,                0.70922,                0.99331,                0.48106,                0.97561,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.0551,                0.60685,                 1.0519,                 0.9378,                0.96239,                0.96605,                 0.7116,                 1.0001,                0.47842,                0.97795,               0.008416,               0.008416,               0.008416
                     83,                  1.055,                0.59477,                 1.0491,                0.93658,                0.96743,                0.96806,                0.71226,                 1.0015,                0.47446,                0.98149,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.0504,                0.60506,                 1.0531,                0.93913,                0.96173,                0.96715,                 0.7071,                 1.0095,                0.47744,                0.97796,              0.0083764,              0.0083764,              0.0083764
                     85,                 1.0521,                0.60106,                 1.0542,                0.94682,                0.96295,                0.96658,                0.71381,                0.99486,                0.47574,                0.97677,              0.0083566,              0.0083566,              0.0083566
                     86,                 1.0569,                0.60789,                 1.0578,                0.94677,                0.95945,                0.96835,                0.70752,                 1.0016,                0.47171,                0.98355,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.0574,                 0.6017,                 1.0523,                0.94674,                0.95754,                0.96691,                0.71249,                 1.0012,                0.47008,                0.97726,               0.008317,               0.008317,               0.008317
                     88,                 1.0568,                0.60624,                 1.0547,                0.90917,                0.95876,                0.96767,                0.71761,                0.99826,                0.46839,                 0.9797,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.0521,                0.60645,                 1.0505,                0.93176,                0.95938,                 0.9687,                 0.7135,                0.99516,                0.46685,                0.97914,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.0392,                0.59032,                 1.0441,                0.93717,                0.96083,                0.96325,                 0.7095,                0.98717,                0.46517,                0.97131,              0.0082576,              0.0082576,              0.0082576
                     91,                 1.0468,                 0.5875,                  1.046,                0.92726,                0.96598,                0.96233,                0.71199,                  1.003,                0.46656,                0.97139,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.0504,                0.59175,                  1.045,                0.91175,                0.96257,                0.96751,                0.71643,                0.98983,                0.45982,                0.96865,               0.008218,               0.008218,               0.008218
                     93,                 1.0458,                0.59004,                 1.0437,                0.93891,                0.96141,                0.96622,                0.71211,                0.98681,                0.45737,                0.96887,              0.0081982,              0.0081982,              0.0081982
                     94,                   1.05,                0.59159,                 1.0515,                0.93173,                0.96354,                0.96815,                0.71601,                 0.9775,                0.46097,                0.96948,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.0548,                0.59281,                 1.0478,                0.94202,                 0.9621,                0.96654,                0.71458,                0.98281,                0.46007,                0.97049,              0.0081586,              0.0081586,              0.0081586
                     96,                 1.0378,                0.58212,                 1.0428,                0.91565,                0.96748,                0.96559,                 0.7104,                0.98558,                 0.4623,                0.97565,              0.0081388,              0.0081388,              0.0081388
                     97,                 1.0382,                0.58502,                 1.0514,                  0.925,                0.96047,                0.96555,                0.71056,                0.97901,                0.45783,                0.97157,               0.008119,               0.008119,               0.008119
                     98,                 1.0465,                0.58129,                 1.0466,                0.91929,                0.95699,                0.96472,                0.71424,                0.97695,                0.45595,                0.97074,              0.0080992,              0.0080992,              0.0080992
                     99,                 1.0332,                0.58139,                  1.044,                0.93441,                0.96399,                0.96586,                0.71215,                0.98219,                0.45726,                0.97048,              0.0080794,              0.0080794,              0.0080794
                    100,                 1.0362,                0.58336,                 1.0405,                0.93797,                0.96354,                0.96727,                0.72022,                0.98667,                 0.4578,                0.96774,              0.0080596,              0.0080596,              0.0080596
                    101,                 1.0337,                0.57318,                  1.039,                0.94238,                0.96185,                0.96633,                0.72228,                0.97416,                0.45467,                0.96595,              0.0080398,              0.0080398,              0.0080398
                    102,                 1.0294,                0.58001,                 1.0451,                0.94199,                0.96365,                0.96813,                0.72069,                0.97079,                0.45131,                0.96575,                0.00802,                0.00802,                0.00802
                    103,                 1.0293,                0.57557,                 1.0363,                0.93421,                0.96429,                0.96916,                0.71765,                 0.9699,                0.44772,                0.96341,              0.0080002,              0.0080002,              0.0080002
                    104,                 1.0307,                  0.589,                 1.0421,                0.94198,                0.95781,                0.96689,                0.71356,                0.97847,                 0.4493,                0.96676,              0.0079804,              0.0079804,              0.0079804
                    105,                 1.0313,                0.57099,                 1.0379,                0.93496,                0.96596,                0.96843,                0.71457,                0.98341,                0.45323,                0.96978,              0.0079606,              0.0079606,              0.0079606
                    106,                 1.0172,                0.57107,                 1.0356,                0.93605,                0.96589,                0.96788,                0.72242,                0.97855,                0.44833,                0.97087,              0.0079408,              0.0079408,              0.0079408
                    107,                 1.0336,                0.58136,                 1.0444,                0.93654,                0.96053,                0.96691,                0.72123,                0.97303,                0.44499,                0.96993,               0.007921,               0.007921,               0.007921
                    108,                 1.0262,                0.57736,                 1.0379,                0.91441,                0.96585,                0.96754,                0.72355,                0.96754,                0.44844,                0.96666,              0.0079012,              0.0079012,              0.0079012
                    109,                 1.0209,                0.56962,                 1.0364,                  0.935,                0.96129,                0.96743,                 0.7238,                0.97075,                0.44577,                0.96683,              0.0078814,              0.0078814,              0.0078814
                    110,                 1.0196,                0.56652,                 1.0364,                0.93979,                 0.9616,                0.96723,                0.72864,                0.97189,                0.44631,                 0.9663,              0.0078616,              0.0078616,              0.0078616
                    111,                 1.0202,                0.56496,                 1.0322,                  0.942,                0.96313,                0.96679,                0.72819,                0.97508,                0.45012,                0.96661,              0.0078418,              0.0078418,              0.0078418
                    112,                 1.0237,                0.56632,                 1.0401,                0.94254,                0.96028,                0.96384,                0.72299,                0.97193,                0.45038,                0.96708,               0.007822,               0.007822,               0.007822
                    113,                 1.0108,                0.56421,                 1.0306,                0.93826,                0.96236,                0.96359,                0.71928,                0.97391,                0.44362,                0.96789,              0.0078022,              0.0078022,              0.0078022
                    114,                 1.0257,                0.56328,                 1.0331,                0.94023,                0.96102,                0.96326,                0.72168,                0.97822,                0.44618,                0.96938,              0.0077824,              0.0077824,              0.0077824
                    115,                 1.0245,                0.56979,                 1.0327,                0.94222,                 0.9607,                0.96504,                0.72216,                0.98182,                 0.4439,                0.97153,              0.0077626,              0.0077626,              0.0077626
                    116,                 1.0177,                0.56525,                 1.0418,                0.93689,                0.96114,                 0.9668,                0.72506,                0.97624,                0.44104,                0.97086,              0.0077428,              0.0077428,              0.0077428
                    117,                 1.0161,                0.56354,                 1.0354,                0.93704,                0.96265,                0.96516,                0.72489,                0.96949,                0.43989,                0.96928,               0.007723,               0.007723,               0.007723
                    118,                 1.0075,                0.55979,                 1.0334,                 0.9433,                0.96032,                0.96687,                0.72826,                0.97783,                0.43978,                0.96999,              0.0077032,              0.0077032,              0.0077032
                    119,                 1.0216,                0.56485,                 1.0336,                 0.9386,                0.96384,                0.96633,                 0.7252,                0.97044,                0.43927,                0.96805,              0.0076834,              0.0076834,              0.0076834
                    120,                 1.0137,                0.55827,                 1.0292,                0.93658,                0.96561,                0.96234,                0.72483,                0.96664,                0.43626,                 0.9663,              0.0076636,              0.0076636,              0.0076636
                    121,                0.99706,                0.55011,                 1.0301,                0.94047,                0.96368,                0.96175,                0.72544,                0.96441,                0.43408,                0.96357,              0.0076438,              0.0076438,              0.0076438
                    122,                 1.0072,                0.55514,                 1.0319,                0.93941,                0.96445,                0.96068,                0.72547,                0.95948,                 0.4365,                 0.9635,               0.007624,               0.007624,               0.007624
                    123,                 1.0123,                0.55847,                 1.0373,                0.94018,                 0.9625,                0.96292,                0.72422,                0.95917,                 0.4316,                 0.9643,              0.0076042,              0.0076042,              0.0076042
                    124,                 1.0036,                0.55699,                 1.0333,                0.94044,                0.95934,                0.96345,                0.72742,                0.95865,                0.43302,                0.96474,              0.0075844,              0.0075844,              0.0075844
                    125,                 1.0066,                0.55623,                 1.0372,                0.93304,                0.96418,                0.96232,                0.72711,                0.96025,                0.43417,                0.96477,              0.0075646,              0.0075646,              0.0075646
                    126,                 1.0059,                0.55283,                 1.0274,                0.93251,                 0.9685,                0.96379,                0.72766,                0.95793,                0.43319,                0.96275,              0.0075448,              0.0075448,              0.0075448
                    127,                 1.0035,                 0.5501,                 1.0295,                 0.9286,                0.96543,                0.96474,                0.72742,                0.95819,                0.43287,                0.96139,               0.007525,               0.007525,               0.007525
                    128,                 1.0066,                0.54793,                 1.0338,                0.92655,                0.96473,                0.96467,                0.72597,                0.96078,                0.43665,                0.96271,              0.0075052,              0.0075052,              0.0075052
                    129,                0.99968,                0.54495,                 1.0299,                0.92568,                0.96418,                0.96435,                0.72777,                 0.9621,                0.43983,                0.96402,              0.0074854,              0.0074854,              0.0074854
                    130,                0.99707,                0.54979,                 1.0239,                0.92932,                 0.9609,                0.96424,                0.72805,                0.96364,                0.43827,                0.96458,              0.0074656,              0.0074656,              0.0074656
                    131,                0.99636,                 0.5454,                 1.0295,                0.93207,                0.95755,                0.96571,                0.72624,                 0.9654,                0.44074,                0.96601,              0.0074458,              0.0074458,              0.0074458
                    132,                 1.0013,                0.54914,                   1.03,                0.93352,                0.95699,                0.96571,                0.72647,                0.96523,                0.43817,                0.96514,               0.007426,               0.007426,               0.007426
                    133,                 0.9977,                0.54888,                 1.0242,                0.93434,                0.95813,                0.96571,                0.72557,                0.96797,                0.43581,                0.96512,              0.0074062,              0.0074062,              0.0074062
                    134,                 1.0026,                0.54507,                 1.0288,                0.93784,                 0.9567,                0.96382,                0.72621,                0.96917,                0.43552,                0.96469,              0.0073864,              0.0073864,              0.0073864
                    135,                 1.0007,                0.54482,                  1.028,                0.93531,                0.95771,                 0.9607,                 0.7256,                0.96874,                0.43615,                0.96496,              0.0073666,              0.0073666,              0.0073666
                    136,                 1.0045,                0.54542,                 1.0221,                0.93603,                0.96035,                0.96097,                0.72448,                0.96756,                 0.4356,                0.96492,              0.0073468,              0.0073468,              0.0073468
                    137,                 0.9851,                0.53812,                  1.018,                0.93481,                0.96307,                0.96088,                0.72575,                0.96593,                0.43535,                0.96473,               0.007327,               0.007327,               0.007327
                    138,                0.99835,                0.54641,                 1.0317,                0.93592,                0.96297,                0.96127,                0.72263,                0.96443,                0.43647,                0.96382,              0.0073072,              0.0073072,              0.0073072
                    139,                0.98666,                0.54353,                 1.0259,                0.93522,                0.96312,                0.96149,                0.72234,                0.96372,                0.43609,                0.96428,              0.0072874,              0.0072874,              0.0072874
                    140,                0.98989,                0.54229,                 1.0208,                0.93437,                0.96301,                0.96072,                 0.7225,                0.96496,                0.43605,                0.96475,              0.0072676,              0.0072676,              0.0072676
                    141,                0.99267,                0.53865,                 1.0288,                0.93513,                0.96243,                 0.9606,                0.72443,                0.96443,                0.43314,                0.96519,              0.0072478,              0.0072478,              0.0072478
                    142,                0.98596,                0.53881,                 1.0161,                0.93721,                0.96112,                0.96025,                0.72416,                0.96216,                0.43114,                0.96428,               0.007228,               0.007228,               0.007228
                    143,                0.98467,                 0.5379,                   1.02,                0.93564,                0.96122,                0.96048,                0.72694,                0.96284,                0.43198,                0.96506,              0.0072082,              0.0072082,              0.0072082
                    144,                0.98859,                0.53761,                 1.0258,                0.93611,                0.96014,                0.96093,                0.72559,                0.96047,                0.43062,                0.96427,              0.0071884,              0.0071884,              0.0071884
                    145,                0.98303,                0.53697,                 1.0248,                0.93571,                0.96183,                0.96098,                0.72616,                0.96107,                0.43184,                0.96413,              0.0071686,              0.0071686,              0.0071686
                    146,                0.98732,                0.53744,                 1.0252,                0.93536,                0.96231,                0.96059,                0.72571,                0.96103,                0.43059,                0.96382,              0.0071488,              0.0071488,              0.0071488
                    147,                0.98873,                0.54353,                 1.0171,                0.93461,                0.96173,                0.96027,                0.72269,                0.96277,                0.43088,                0.96366,               0.007129,               0.007129,               0.007129
                    148,                0.97656,                0.52808,                  1.016,                0.93361,                0.96192,                0.96024,                0.72521,                0.96158,                0.43124,                0.96339,              0.0071092,              0.0071092,              0.0071092
                    149,                0.98764,                0.53661,                 1.0228,                0.93374,                0.96185,                 0.9598,                0.72178,                0.96116,                0.43195,                0.96319,              0.0070894,              0.0070894,              0.0070894
